-4.968005391253238, -8.228034621458887
-4.898348182125559, -8.384207506662719
-4.828692470197431, -8.537820180633698
-4.759039004068631, -8.687592537755403
-4.689384040740279, -8.839925106109959
-4.619731323211255, -8.98841735761524
-4.550074114083575, -9.14459024281907
-4.480423642353878, -9.289242177475076
-4.410779908022161, -9.422373161583259
-4.341136173690445, -9.555504145691442
-4.271490942159177, -9.691195341032474
-4.201847207827461, -9.824326325140657
-4.1322057192950705, -9.953616992399565
-4.06256273356313, -10.085467870891323
-3.9929242394298434, -10.209638115684532
-3.9232842480970054, -10.33636857171059
-3.853645753963719, -10.4605388165038
-3.7840072598304317, -10.584709061297009
-3.7143814918933318, -10.687117510610996
-3.6447572211557833, -10.786965748692133
-3.5751299560191323, -10.891934409238969
-3.506764979824244, -11.001255428881649
-3.454860664657028, -11.08010993485342
-3.227813988747203, -11.558869435396307
-3.163615676126659, -11.649756934162472
-3.09399664558754, -11.740644432928635
-3.024378363648197, -11.830251826078372
-2.9547638247077326, -11.913458691145987
-2.8851515315665948, -11.992825239364327
-2.815539238425457, -12.072191787582668
-2.7459314368829735, -12.143877702102458
-2.676325132540041, -12.213003405389399
-2.606722571195988, -12.275728580594215
-2.537122255651261, -12.33461343894976
-2.4833455926317485, -12.370883098081794
-2.3790381952201023, -12.300050587306288
-2.3094730638648326, -12.298770481689862
-2.2399386251003666, -12.24500604580002
-2.1704206555309655, -12.16307928634883
-2.100915412157751, -12.059390731418418
-2.0314206491813964, -11.93778069785806
-1.961934120802574, -11.802089502517026
-1.8924565756210598, -11.651037039778895
-1.822982773438425, -11.493584048958642
-1.753518703052873, -11.319489685124864
-1.6840576270664238, -11.140274898825387
-1.6146040370777328, -10.94825905636166
-1.5451556872874699, -10.747282474582963
-1.4757118290958617, -10.538625259105714
-1.4062762055017863, -10.315886881847794
-1.3368435763068138, -10.088028082124172
-1.2674169359100471, -9.849928437469153
-1.1979947871119334, -9.604148159115585
-1.1285778785122504, -9.349407141447042
-1.0591639643116686, -9.089545701312801
-1.0107909440063247, -8.897529858849076
