4,1.08E+07
5,4.36E+06
6,2.07E+06
7,1.10E+06
8,6.30E+05
9,3.83E+05
10,2.44E+05
11,1.62E+05
12,1.10E+05
13,7.33E+04
14,5.17E+04
15,3.69E+04
